album,track_no,track_title,audio_url,lyrics_url,lyrics_offset,lyric_preview
Humble Swag GT Mixtape,7,Different Flow,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/07-Different%20Flow.flac,./lyrics/humble-swag-gt-mixtape/different-flow.lrc,0.0,我droped第三张专辑  还穿着费城的3号jersey
Humble Swag GT Mixtape,8,欺骗游戏,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/08-%E6%AC%BA%E9%AA%97%E6%B8%B8%E6%88%8F.flac,./lyrics/humble-swag-gt-mixtape/欺骗游戏.lrc,0.0,Chapter1
Humble Swag GT Mixtape,9,20岁的贷款,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/09-20%E5%B2%81%E7%9A%84%E8%B4%B7%E6%AC%BE.flac,./lyrics/humble-swag-gt-mixtape/20岁的贷款.lrc,0.0,破旧的歌词本  能清晰的看出我的指纹
Humble Swag GT Mixtape,10,马医生,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/06-humble-swag-gt-mixtape/10-%E9%A9%AC%E5%8C%BB%E7%94%9F.flac,./lyrics/humble-swag-gt-mixtape/马医生.lrc,0.0,“ 马医生 病人已经躺在了手术台
P.E.I Vol.2,1,intro冷板凳,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/01-intro%E5%86%B7%E6%9D%BF%E5%87%B3.flac,./lyrics/pei-vol2/intro冷板凳.lrc,0.0,把台子给你拆了
P.E.I Vol.2,2,成都Rappers_ft.FreeT,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/02-%E6%88%90%E9%83%BDRappers_ft.FreeT.flac,./lyrics/pei-vol2/成都rappers-ftfreet.lrc,0.0,Les demoiselles recherchent un mec mortel
P.E.I Vol.2,3,追求_ft.TY 马思唯;Ty,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/03-%E8%BF%BD%E6%B1%82_ft.TY%20%E9%A9%AC%E6%80%9D%E5%94%AF;Ty.flac,./lyrics/pei-vol2/追求-ftty-马思唯-ty.lrc,0.0,原曲编曲 : 马思唯
P.E.I Vol.2,4,Total Wreak,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/04-Total%20Wreak.flac,./lyrics/pei-vol2/total-wreak.lrc,0.0,吉他 : 张晨
P.E.I Vol.2,5,崂山道士 MV,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/05-%E5%B4%82%E5%B1%B1%E9%81%93%E5%A3%AB%20MV.flac,./lyrics/pei-vol2/崂山道士-mv.lrc,0.0,纯音乐，请欣赏
P.E.I Vol.2,6,MLP_ft.TY 马思唯;Ty,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/06-MLP_ft.TY%20%E9%A9%AC%E6%80%9D%E5%94%AF;Ty.flac,./lyrics/pei-vol2/mlp-ftty-马思唯-ty.lrc,0.0,原曲编曲 : 马思唯
P.E.I Vol.2,7,烂眼儿_Skip_Ft_小新,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/07-%E7%83%82%E7%9C%BC%E5%84%BF_Skip_Ft_%E5%B0%8F%E6%96%B0.flac,./lyrics/pei-vol2/烂眼儿-skip-ft-小新.lrc,0.0,原曲编曲 : 马思唯
P.E.I Vol.2,8,烂眼儿（说唱会馆REMIX）,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/08-%E7%83%82%E7%9C%BC%E5%84%BF%EF%BC%88%E8%AF%B4%E5%94%B1%E4%BC%9A%E9%A6%86REMIX%EF%BC%89.flac,./lyrics/pei-vol2/烂眼儿-说唱会馆remix.lrc,0.0,事实上 我从来没有这么主动过
P.E.I Vol.2,9,outro都来耍,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/07-pei-vol2/09-outro%E9%83%BD%E6%9D%A5%E8%80%8D.flac,./lyrics/pei-vol2/outro都来耍.lrc,0.0,原曲编曲 : 马思唯
